station,weight,latitude,longitude,elevation,leaflabel
25281,USC00514561,69.0,22.2139,-159.4044,118.9,3.0
28930,USC00514568,31.0,22.2333,-159.4,54.9,3.0
10615,USC00518217,28.0,21.9656,-159.3964,100.3,3.0
3110,USC00515560,0.0,22.0242,-159.3867,115.8,3.0
18012,USC00515575,58.0,21.9742,-159.3683,63.1,3.0
10983,USW00022536,63.0,21.9839,-159.3405,30.5,3.0
21770,USR0000HMOL,9.0,22.1833,-159.3375,85.3,3.0
18019,USC00516529,1.0,22.1797,-159.3319,91.4,3.0
10599,USC00513982,14.0,22.1,-159.3167,2.7,3.0
25311,USR0000ASEL,20.0,66.6033,-159.1125,32.0,171.0
3146,USR0000AKAV,19.0,67.1386,-159.0436,71.6,171.0
3062,USC00505374,8.0,59.5667,-159.0333,21.0,169.0
14222,USC00505346,4.0,59.45,-158.9,18.0,169.0
10537,USC00502465,2.0,59.1833,-158.8333,11.6,169.0
28955,USR0000AINN,21.0,63.39,-158.8167,283.5,171.0
29355,USW00026502,15.0,64.3267,-158.7417,55.2,171.0
28877,USC00504165,11.0,64.3333,-158.7167,30.5,171.0
3152,USR0000ANOA,21.0,68.0708,-158.7042,300.2,171.0
3538,USW00025508,36.0,56.95,-158.6167,28.0,163.0
21629,USC00506062,0.0,59.2833,-158.5833,18.0,169.0
3026,USC00500201,9.0,59.2833,-158.5667,21.0,169.0
28865,USC00502457,69.0,59.05,-158.5167,26.2,169.0
3076,USC00506672,3.0,58.9833,-158.5,-999.9,169.0
3034,USC00501716,15.0,56.3,-158.4,9.1,163.0
6851,USC00512410,0.0,21.5611,-158.2383,403.9,3.0
6964,USR0000HMAR,12.0,21.5286,-158.2261,6.1,3.0
10588,USC00510305,27.0,21.5783,-158.2236,2.1,3.0
3111,USC00515766,0.0,21.4667,-158.2167,6.1,3.0
14386,USR0000HMAP,9.0,21.5261,-158.2042,158.5,3.0
28938,USC00515781,5.0,21.4833,-158.2,49.1,3.0
21771,USR0000HMRG,9.0,21.5428,-158.1989,533.4,3.0
21667,USC00515758,15.0,21.4783,-158.1964,76.2,3.0
21661,USC00513734,2.0,21.5803,-158.1903,12.2,3.0
14296,USC00519231,43.0,21.4331,-158.1828,7.6,3.0
21773,USR0000HWVA,9.0,21.4806,-158.1553,291.7,3.0
25287,USC00515647,9.0,21.4211,-158.135,36.0,3.0
25288,USC00515650,0.0,21.4833,-158.1333,458.1,3.0
6877,USC00517781,2.0,21.3447,-158.1278,2.4,3.0
25298,USC00519195,71.0,21.575,-158.1203,3.0,3.0
21674,USC00518500,24.0,21.3814,-158.1197,509.9,3.0
3227,USR0000HSFB,9.0,21.5086,-158.1147,346.9,3.0
17994,USC00510248,0.0,21.3131,-158.1142,3.0,3.0
21695,USR0000AKAI,14.0,64.4256,-158.1058,33.5,171.0
10565,USC00506656,17.0,64.7186,-158.1022,34.1,171.0
3041,USC00502247,23.0,61.8667,-158.1,61.0,169.0
21676,USC00518805,32.0,21.3,-158.1,3.0,3.0
10613,USC00518055,7.0,21.5383,-158.0892,220.1,3.0
3226,USR0000HSCO,13.0,21.495,-158.0819,298.7,3.0
18033,USC00519593,20.0,21.6261,-158.0675,93.6,3.0
10981,USW00022514,50.0,21.3167,-158.0667,15.2,3.0
7218,USW00022551,13.0,21.3167,-158.0667,16.5,3.0
10620,USC00519603,29.0,21.6369,-158.0536,12.5,3.0
14292,USC00518340,6.0,21.65,-158.05,159.1,3.0
7216,USW00022515,4.0,21.3333,-158.05,20.1,3.0
3124,USC00518945,1.0,21.4967,-158.0497,260.3,3.0
21670,USC00517150,59.0,21.5739,-158.0378,288.0,3.0
14295,USC00519190,8.0,21.6833,-158.0333,9.1,3.0
22047,USW00022508,10.0,21.4833,-158.0333,257.9,3.0
18028,USC00518905,9.0,21.5,-158.0333,281.0,3.0
25294,USC00518172,10.0,21.4667,-158.0167,214.0,3.0
21678,USC00518838,13.0,21.4992,-158.0108,306.9,3.0
28946,USC00519738,23.0,21.3867,-158.0067,14.3,3.0
6785,USC00503085,25.0,62.45,-158.0,99.1,171.0
18026,USC00518806,3.0,21.3167,-158.0,3.0,3.0
17997,USC00511384,0.0,21.55,-158.0,387.1,3.0
14273,USC00511918,36.0,21.3153,-157.9992,0.9,3.0
29034,USR0000HSCH,9.0,21.4994,-157.9933,381.0,3.0
25273,USC00510507,73.0,21.3747,-157.9917,6.1,3.0
21769,USR0000HKAH,12.0,21.6792,-157.9894,181.7,3.0
28928,USC00512580,0.0,21.7,-157.9833,3.0,3.0
14286,USC00516137,0.0,21.3167,-157.9833,-999.9,3.0
25275,USC00512570,68.0,21.695,-157.9811,4.0,3.0
18022,USC00517948,1.0,21.3928,-157.9744,11.0,3.0
18096,USR0000HKII,9.0,21.6883,-157.9525,1.5,3.0
14294,USC00518953,0.0,21.5167,-157.95,369.1,3.0
29309,USW00022517,4.0,21.35,-157.95,10.1,3.0
7215,USW00022504,1.0,21.3333,-157.95,3.0,3.0
6862,USC00514500,33.0,21.6792,-157.9453,7.6,3.0
14269,USC00510340,3.0,21.65,-157.9333,6.1,4.0
14281,USC00515213,0.0,21.65,-157.9333,3.0,4.0
21651,USC00510115,13.0,21.3833,-157.9333,36.9,4.0
25271,USC00510172,5.0,21.3833,-157.9333,11.9,4.0
10587,USC00510242,19.0,21.6431,-157.9317,6.1,4.0
25642,USW00022521,63.0,21.3239,-157.9294,2.1,4.0
14277,USC00513208,3.0,21.6031,-157.9022,0.9,4.0
3120,USC00518310,0.0,21.5833,-157.9,11.9,4.0
18001,USC00512462,4.0,21.5111,-157.8989,243.8,4.0
18031,USC00519340,0.0,21.5,-157.8833,231.6,4.0
28927,USC00512225,25.0,21.3333,-157.8667,9.1,4.0
28851,USC00500260,10.0,67.0833,-157.8667,36.6,171.0
22049,USW00022522,27.0,21.3167,-157.8667,4.0,4.0
10601,USC00514617,7.0,21.3,-157.85,15.2,4.0
17933,USC00500249,7.0,67.0833,-157.85,36.6,171.0
3125,USC00519281,5.0,21.4517,-157.8489,32.9,4.0
10616,USC00518316,4.0,21.3103,-157.8458,103.0,4.0
6866,USC00514830,3.0,21.5214,-157.8375,7.3,4.0
10586,USC00510055,10.0,21.4319,-157.8372,74.1,4.0
28941,USC00516933,0.0,21.3386,-157.8367,125.0,4.0
10608,USC00516141,0.0,21.3014,-157.8336,51.2,4.0
21619,USC00503908,10.0,64.05,-157.8333,298.7,171.0
6849,USC00512146,7.0,21.3,-157.8333,14.9,4.0
3123,USC00518736,4.0,21.3333,-157.8333,488.0,4.0
6846,USC00510397,2.0,21.3167,-157.8333,53.3,4.0
6855,USC00512960,3.0,21.3753,-157.8222,277.4,4.0
10617,USC00518734,16.0,21.3333,-157.8167,427.0,4.0
10596,USC00513113,69.0,21.4167,-157.8167,57.9,4.0
28925,USC00511370,12.0,21.4333,-157.8167,31.1,4.0
3103,USC00512983,18.0,21.3167,-157.8167,365.8,4.0
10618,USC00519397,48.0,21.2717,-157.8167,3.0,4.0
28922,USC00510836,4.0,21.4333,-157.8167,36.9,4.0
25296,USC00518815,4.0,21.2981,-157.8164,34.1,4.0
6872,USC00516128,38.0,21.3331,-157.8025,152.4,4.0
25277,USC00513117,16.0,21.4233,-157.8014,14.6,4.0
14285,USC00516126,0.0,21.3333,-157.8,153.0,4.0
18014,USC00516084,0.0,21.2931,-157.7944,129.5,4.0
10606,USC00516130,0.0,21.3283,-157.7914,198.1,4.0
17995,USC00510350,6.0,21.4336,-157.7867,0.9,4.0
10611,USC00517656,0.0,21.3733,-157.7853,128.0,4.0
18015,USC00516169,20.0,21.3,-157.7833,249.9,4.0
14276,USC00513123,19.0,21.3833,-157.7833,113.1,4.0
22048,USW00022519,60.0,21.45,-157.7833,3.0,4.0
21679,USC00519185,0.0,21.2733,-157.7803,3.0,4.0
25290,USC00516222,3.0,21.3508,-157.7667,127.7,4.0
3114,USC00516228,39.0,21.3667,-157.7667,75.9,4.0
28945,USC00519521,36.0,21.35,-157.7333,18.0,4.0
10619,USC00519526,0.0,21.3333,-157.7333,43.0,4.0
25272,USC00510202,0.0,21.35,-157.7167,14.9,4.0
10589,USC00510800,5.0,21.3,-157.7167,9.1,4.0
21680,USC00519523,42.0,21.3356,-157.7114,19.5,4.0
14283,USC00515675,5.0,21.2833,-157.7,11.9,4.0
